slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
akave-cloud-business,,!offer:akave-cloud-business,,,,,,,,
aleph-cloud-enterprise,,!offer:aleph-cloud-enterprise,,,,,,,,
arweave,,!offer:arweave,,,,,,,,
filebase-enterprise,,!offer:filebase-enterprise,,,,,,,,
ipfs,IPFS,,"[""[Docs](https://docs.ipfs.io/)""]",Tool,"[""Go"",""JavaScript"",""Storage""]",$0,Free,,"Open decentralized protocol to store, verify, and share data across distributed networks commonly used in blockchain",FALSE
irys,,!offer:irys,,,,,,,,
lighthouse-enterprise,,!offer:lighthouse-enterprise,,,,,,,,
orbit-db,Orbit DB,,"[""[Website](https://orbitdb.org/)""]",Database,"[""Decentralized database""]",$0,Free,,"It provides a serverless, distributed, peer-to-peer database for building decentralized applications",FALSE
pinata-enterprise,,!offer:pinata-enterprise,,,,,,,,
swarm,,!offer:swarm,,,,,,,,
tableland-db,Tableland,,"[""[Website](https://tableland.xyz/)""]",Database,"[""Decentralized database"",""SQL database"",""SQLite""]",Custom,TBD,,"It allows developers to store, manage, and query structured data for decentralized applications using familiar SQL statements, with access control and ownership tied to the blockchain",FALSE
thread-db,Powergate,Thread DB,"[""[Docs](https://docs.textile.io/threads/)""]",Database,"[""Decentralized database"",""P2P database""]",Custom,TBD,,"It is a multi-party,decentralized database solution built on IPFS and Libp2p that provides an alternative architecture for data on the web",FALSE
zeeve-enterprise,,!offer:zeeve-enterprise,,,,,,,,
akave-cloud-pay-as-you-go,,!offer:akave-cloud-pay-as-you-go,,,,,,,,,,
aleph-cloud-block-storage,,!offer:aleph-cloud-block-storage,,,,,,,,,,
aleph-cloud-gpu-cloud,,!offer:aleph-cloud-gpu-cloud,,,,,,,,,,
aleph-cloud-vps,,!offer:aleph-cloud-vps,,,,,,,,,,
bluzelle,,!offer:bluzelle,,,,,,,,,,
btfs,,!offer:btfs,,,,,,,,,,
crust-network,,!offer:crust-network,,,,,,,,,,
filebase-free,,!offer:filebase-free,,,,,,,,,,
filebase-pro,,!offer:filebase-pro,,,,,,,,,,
filebase-starter,,!offer:filebase-starter,,,,,,,,,,
filebase-unlimited,,!offer:filebase-unlimited,,,,,,,,,,
lighthouse-beacon,,!offer:lighthouse-beacon,,,,,,,,,,
lighthouse-free,,!offer:lighthouse-free,,,,,,,,,,
lighthouse-harbour,,!offer:lighthouse-harbour,,,,,,,,,,
lighthouse-lite,,!offer:lighthouse-lite,,,,,,,,,,
lighthouse-navigator,,!offer:lighthouse-navigator,,,,,,,,,,
lighthouse-premium,,!offer:lighthouse-premium,,,,,,,,,,
pinata-fiesta,,!offer:pinata-fiesta,,,,,,,,,,
pinata-free,,!offer:pinata-free,,,,,,,,,,
pinata-picnic,,!offer:pinata-picnic,,,,,,,,,,
storacha-extra-spicy,,!offer:storacha-extra-spicy,,,,,,,,,,
storacha-medium,,!offer:storacha-medium,,,,,,,,,,
storacha-mild,,!offer:storacha-mild,,,,,,,,,,
storj-archive,,!offer:storj-archive,,,,,,,,,,
storj-global,,!offer:storj-global,,,,,,,,,,
storj-regional,,!offer:storj-regional,,,,,,,,,,
zeeve-build,,!offer:zeeve-build,,,,,,,,,,
zeeve-free,,!offer:zeeve-free,,,,,,,,,,
zeeve-growth,,!offer:zeeve-growth,,,,,,,,,,
zeeve-launch,,!offer:zeeve-launch,,,,,,,,,,
