slug,providerSlug,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
1money,1money,,"[""[Website](https://1money.com/)"",""[Docs](https://developer.1money.com/docs/what-is-the-1money-platform)""]",full,"[""bank_transfer"",""ach"",""sepa""]","[""AF"",""BY"",""BI"",""CF"",""CU"",""CD"",""ER"",""HT"",""IR"",""IQ"",""LB"",""LY"",""ML"",""MM"",""NI"",""KP"",""RU"",""SO"",""SS"",""SD"",""SY"",""VE"",""YE"",""ZW""]",FALSE,,API,
alchemy-pay,alchemy-pay,,"[""[Website](https://alchemypay.org/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,
alixpay,alixpay,,"[""[Website](https://alixpay.com/)"",""[Docs](https://aliniex.gitbook.io/alix-pay)""]",full,"[""bank_transfer"",""credit_card"",""debit_card""]",,FALSE,,"API, Widget",
alltrust-me,alltrust-me,,"[""[Website](https://alltrust.me/en)""]",full,"[""bank_transfer"",""card"",""apple_pay"",""google_pay""]",,FALSE,,Web / App / Physical branch,
assetux,assetux,,"[""[Website](https://exchange.assetux.com/)""]",light,"[""credit_card"",""debit_card""]",,FALSE,,Web app,
banxa,banxa,,"[""[Website](https://banxa.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""ISO27001"",""SOC2_TYPE_II""]",TBD,
belo,belo,,"[""[Website](https://www.belo.app/)"",""[Docs](https://help.belo.app/en/)""]",full,"[""bank_transfer"",""credit_card"",""debit_card""]",,FALSE,,TBD,
bisq,bisq,,"[""[Website](https://bisq.network/)"",""[Docs](https://bisq.wiki/)""]",light,"[""bank_transfer"",""sepa"",""swift"",""revolut"",""pix"",""zelle"",""interac_e_transfer"",""wise""]",,FALSE,,Desktop app,
bitzaro,bitzaro,,"[""[Website](https://www.bitzaro.com/bitzaro-onramp/)""]",full,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay""]","[""GB""]",FALSE,,Widget,
bleap,bleap,,"[""[Website](https://bleap.finance/)""]",light,"[""sepa"",""fps"",""credit_card"",""debit_card"",""apple_pay"",""google_pay""]",,FALSE,,Web app,
breet,breet,Breet API,"[""[Website](https://breet.io/business/api)"",""[Docs](https://docs.breet.io/)""]",full,"[""bank_transfer""]",,FALSE,"[""PCI_DSS""]",API,
bridge,bridge,Orchestration and FX,"[""[Website](https://bridge.xyz/product/orchestration)"",""[Docs](https://apidocs.bridge.xyz/)""]",full,"[""ach"",""sepa"",""bank_transfer"",""fps"",""pix"",""spei""]","[""AF"",""BI"",""BY"",""CD"",""CN"",""CU"",""DZ"",""IQ"",""IR"",""JP"",""KP"",""LB"",""LY"",""MM"",""RU"",""SD"",""SO"",""SS"",""SY"",""TN"",""VE"",""YE""]",FALSE,,API,
btcdirect,btcdirect,,"[""[Website](https://btcdirect.eu/en-eu)""]",full,"[""bank_transfer"",""credit_card"",""sofort"",""ideal"",""bancontact"",""apple_pay"",""paypal""]",,FALSE,,"Web, Unified Checkout, API",
bvnk,bvnk,,"[""[Website](https://bvnk.com/mt-mt/payments)"",""[Docs](https://docs.bvnk.com/bvnk/use-cases/on-off-ramp/on-ramp-overview/)""]",full,"[""ach"",""sepa"",""swift"",""bank_transfer""]",,FALSE,,API,
coinbase-onramp,coinbase,,"[""[Website](https://www.coinbase.com/developer-platform/products/onramp)"",""[Docs](https://docs.cdp.coinbase.com/onramp/introduction/welcome)""]",full,"[""credit_card"",""debit_card"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""SOC2_TYPE_II""]",API,
coinflow,coinflow,Checkout & Payouts,"[""[Website](https://coinflow.cash/)"",""[Docs](https://docs.coinflow.cash/)""]",full,"[""credit_card"",""debit_card"",""ach"",""sepa"",""fps"",""pix"",""apple_pay"",""google_pay"",""paypal"",""bank_transfer""]",,FALSE,"[""PCI_DSS"",""SOC2_TYPE_I""]","API,Widget",
cybrid,cybrid,,"[""[Website](https://cybrid.xyz/product/payment-orchestration)"",""[Docs](https://docs.cybrid.xyz/docs/platform-overview)""]",full,"[""ach"",""wire"",""rtp"",""eft"",""interac_e_transfer""]",,TRUE,,API,
eldorado,eldorado,,"[""[Website](https://eldorado.io/)"",""[Docs](https://api.eldorado.io/guides/widget)""]",full,"[""bank_transfer"",""pix"",""mobile_money""]",,FALSE,,Widget,
fiat24,fiat24,,"[""[Website](https://www.fiat24.com/)"",""[Docs](https://docs.fiat24.com/)""]",full,"[""bank_transfer"",""sepa""]","[""IR"",""KP"",""RU"",""US""]",FALSE,,API,
finchpay,finchpay,,"[""[Website](https://finchpay.io/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer""]","[""AF"",""BY"",""IR"",""KP"",""MM"",""RU"",""CU"",""US""]",FALSE,,Widget,
